idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
fog,0.04013733275519749,0.10034333188799373,0.04013733275519749,0.020068666377598746,0.08027466551039499,0.020068666377598746,fog,2,🌫️,fog,Travel & Places,sky & weather
VS_button,0.2777047160421934,0.20827853703164503,0.0,0.2777047160421934,0.20827853703164503,0.06942617901054834,VS_button,11,🆚,VS button,Symbols,alphanum
woman_mage_medium-dark_skin_tone,,,,,,,woman_mage_medium-dark_skin_tone,1,🧙🏾‍♀️,woman mage: medium-dark skin tone,People & Body,person-fantasy
parrot,0.08387640052032226,0.1957116012140853,0.22367040138752603,0.027958800173440754,0.05591760034688151,0.11183520069376301,parrot,5,🦜,parrot,Animals & Nature,animal-bird
Libra,0.0,0.0,0.0,0.0,0.0,0.0,Libra,1,♎,Libra,Symbols,zodiac
man_teacher_medium-light_skin_tone,,,,,,,man_teacher_medium-light_skin_tone,1,👨🏼‍🏫,man teacher: medium-light skin tone,People & Body,person-role
person_medium_skin_tone_beard,,,,,,,person_medium_skin_tone_beard,1,🧔🏽,"person: medium skin tone, beard",People & Body,person
raised_back_of_hand_medium_skin_tone,0.10034333188799373,0.0,0.10034333188799373,0.050171665943996864,0.0,0.050171665943996864,raised_back_of_hand_medium_skin_tone,2,🤚🏽,raised back of hand: medium skin tone,People & Body,hand-fingers-open
Japanese_here_button,0.0,0.0,0.0,0.0,0.0,0.0,Japanese_here_button,1,🈁,Japanese “here” button,Symbols,alphanum
thumbs_down,0.675324528930603,0.8191436415732314,0.31765264879328364,0.5002403918004467,0.36642608699382717,0.20259735867918088,thumbs_down,761,👎,thumbs down,People & Body,hand-fingers-closed
hushed_face,0.2803420238535192,0.6703831005192851,0.23158688927029847,0.2925308074993244,0.40222986031157104,0.10969905281224665,hushed_face,97,😯,hushed face,Smileys & Emotion,face-concerned
princess_medium_skin_tone,0.0,0.0,0.1505149978319906,0.0,0.1505149978319906,0.0,princess_medium_skin_tone,2,👸🏽,princess: medium skin tone,People & Body,person-role
