emoticon,cnt
_thumbs_up_medium-dark_skin_tone_,1086
_money_with_wings_,1080
_face_without_mouth_,1067
_skull_and_crossbones_,1067
_sign_of_the_horns_,1049
_video_game_,1045
_camera_with_flash_,1036
_face_with_crossed-out_eyes_,1031
_candle_,1019
_bottle_with_popping_cork_,1012
_handshake_,1009
_camera_,987
_zzz_,976
_clinking_glasses_,969
_sweat_droplets_,964
_rabbit_face_,961
_wastebasket_,952
_dollar_banknote_,946
_kitchen_knife_,942
_middle_finger_medium-dark_skin_tone_,938
_rainbow_flag_,937
_speak-no-evil_monkey_,934
_clapper_board_,933
_seedling_,921
_tangerine_,920
_cowboy_hat_face_,913
_cherry_blossom_,905
_cactus_,891
_gem_stone_,870
_Brazil_,869
_exclamation_question_mark_,865
_butter_,851
_fearful_face_,850
_heart_with_ribbon_,849
_soccer_ball_,849
_thumbs_down_medium_skin_tone_,844
_thumbs_down_medium-dark_skin_tone_,839
_hushed_face_,834
_Saudi_Arabia_,833
_cross_mark_,823
_woman_shrugging_medium-dark_skin_tone_,809
_Canada_,808
_laptop_,803
_chocolate_bar_,786
_mouth_,784
_victory_hand_light_skin_tone_,779
_raised_fist_medium-dark_skin_tone_,769
_headphone_,758
_person_facepalming_,758
_balloon_,741
_backhand_index_pointing_right_medium-light_skin_tone_,733
_backhand_index_pointing_down_light_skin_tone_,733
_water_pistol_,732
_man_shrugging_medium-light_skin_tone_,727
_alien_,727
_index_pointing_up_,725
_cat_with_tears_of_joy_,722
_shushing_face_,721
_dashing_away_,719
_new_moon_face_,719
_bear_,715
_pineapple_,708
_cherries_,706
_kissing_face_,705
_anguished_face_,704
_egg_,700
_backhand_index_pointing_right_light_skin_tone_,699
_paw_prints_,696
_crossed_fingers_medium_skin_tone_,694
_bouquet_,681
_globe_showing_Asia-Australia_,669
_up_arrow_,666
_pancakes_,659
_bug_,653
_light_bulb_,648
_man_facepalming_medium-light_skin_tone_,641
_Santa_Claus_light_skin_tone_,640
_raised_fist_light_skin_tone_,638
_folded_hands_dark_skin_tone_,638
_pie_,631
_tongue_,626
_water_wave_,626
_butterfly_,622
_goat_,618
_victory_hand_medium-light_skin_tone_,616
_person_shrugging_,613
_shopping_bags_,606
_warning_,604
_curly_loop_,591
_sunflower_,591
_kissing_face_with_smiling_eyes_,590
_red_question_mark_,589
_snake_,580
_hand_with_fingers_splayed_,580
_Turkey_,576
_credit_card_,567
_hatching_chick_,565
_oncoming_automobile_,557
_backhand_index_pointing_down_medium-dark_skin_tone_,547
_backhand_index_pointing_down_medium-light_skin_tone_,545
_red_apple_,541
_detective_,541
_clapping_hands_dark_skin_tone_,538
_flexed_biceps_light_skin_tone_,538
_hot_pepper_,537
_crossed_fingers_medium-dark_skin_tone_,534
_tiger_face_,529
_cheese_wedge_,527
_flexed_biceps_medium_skin_tone_,527
_frowning_face_with_open_mouth_,526
_lemon_,524
_shortcake_,518
_flexed_biceps_medium-dark_skin_tone_,516
_person_running_,510
_ring_,506
_call_me_hand_,505
_India_,503
_China_,502
_backhand_index_pointing_left_light_skin_tone_,501
_nail_polish_,500
_chart_increasing_,499
_France_,497
_cat_face_,497
_lion_,493
_ogre_,491
_telephone_,490
_strawberry_,489
_evergreen_tree_,489
_crying_cat_,485
_red_circle_,484
_clinking_beer_mugs_,475
_raised_fist_medium_skin_tone_,472
_yawning_face_,468
_bomb_,468
_face_with_head-bandage_,467
_SOS_button_,464
_flexed_biceps_medium-light_skin_tone_,462
_robot_,461
_zipper-mouth_face_,457
_woman_dancing_light_skin_tone_,454
_herb_,448
_Palestinian_Territories_,448
_loudspeaker_,445
_droplet_,439
_cold_face_,439
_rooster_,438
_film_projector_,433
_taco_,427
_waving_hand_light_skin_tone_,426
_dog_,422
_South_Africa_,416
_victory_hand_medium_skin_tone_,416
_person_tipping_hand_,415
_heart_decoration_,413
_telephone_receiver_,413
_spider_,412
_books_,410
_doughnut_,408
_copyright_,406
_Pakistan_,406
_love-you_gesture_,406
_hibiscus_,402
_play_button_,398
_Germany_,395
_speaker_high_volume_,395
_brown_heart_,395
_backhand_index_pointing_up_,394
_snowman_,390
_racing_car_,388
_woman_detective_,386
_pouting_cat_,385
_deciduous_tree_,385
_backhand_index_pointing_down_medium_skin_tone_,383
_stop_sign_,374
_Santa_Claus_medium-light_skin_tone_,373
_megaphone_,373
_airplane_departure_,372
_lipstick_,371
_basketball_,370
_recycling_symbol_,367
_jeans_,365
_blossom_,364
_raised_fist_medium-light_skin_tone_,363
_front-facing_baby_chick_,362
_pig_nose_,361
_penguin_,361
_guitar_,361
_crossed_swords_,359
_waving_hand_medium-light_skin_tone_,358
_weary_cat_,358
_raised_back_of_hand_,358
_full_moon_face_,357
_love_letter_,355
_peach_,351
_mobile_phone_with_arrow_,351
_tomato_,350
_snowman_without_snow_,347
_oncoming_fist_light_skin_tone_,346
_chequered_flag_,345
_oncoming_fist_medium-light_skin_tone_,338
_musical_score_,335
_keycap_1_,333
_backhand_index_pointing_right_medium-dark_skin_tone_,332
_cocktail_glass_,331
_tulip_,324
_woman_running_,323
_cat_with_wry_smile_,322
_victory_hand_medium-dark_skin_tone_,322
_fish_,321
_beer_mug_,318
_Spain_,317
_house_with_garden_,316
_sport_utility_vehicle_,316
_backhand_index_pointing_right_medium_skin_tone_,316
_Russia_,315
_monkey_,313
_backhand_index_pointing_left_medium_skin_tone_,312
_crystal_ball_,310
_moai_,309
_backhand_index_pointing_left_medium-dark_skin_tone_,308
_check_box_with_check_,308
_unicorn_,305
_watch_,302
_1st_place_medal_,302
_Egypt_,301
_goblin_,299
_left_arrow_,298
_crescent_moon_,298
_backhand_index_pointing_left_medium-light_skin_tone_,296
_microbe_,294
_man_raising_hand_light_skin_tone_,293
_sign_of_the_horns_light_skin_tone_,293
_face_with_thermometer_,292
_middle_finger_dark_skin_tone_,291
_cooking_,288
_sign_of_the_horns_medium_skin_tone_,287
_eggplant_,287
_billed_cap_,285
_Italy_,285
_sign_of_the_horns_medium-light_skin_tone_,285
_gorilla_,283
_palm_tree_,282
_cloud_,281
_tumbler_glass_,280
_thought_balloon_,275
_antenna_bars_,275
_key_,275
_man_facepalming_dark_skin_tone_,274
_lying_face_,271
_house_,268
_fireworks_,268
_artist_palette_,267
_dove_,265
_turtle_,264
_spider_web_,264
_wrench_,264
_person_fencing_,261
_raised_fist_dark_skin_tone_,257
_call_me_hand_medium-light_skin_tone_,257
_banana_,257
_fork_and_knife_,255
_level_slider_,255
_raising_hands_dark_skin_tone_,254
_woman_dancing_medium_skin_tone_,250
_Argentina_,250
_palms_up_together_,249
_carrot_,249
_hear-no-evil_monkey_,248
_open_hands_,247
_heavy_dollar_sign_,247
_man_zombie_,245
_bat_,244
_wolf_,244
_lollipop_,243
_blue_circle_,241
_frog_,241
_link_,240
_female_sign_,240
_bullseye_,239
_delivery_truck_,237
_green_apple_,236
_thumbs_up_dark_skin_tone_,235
_umbrella_,233
_beach_with_umbrella_,232
_call_me_hand_light_skin_tone_,230
_raised_hand_light_skin_tone_,228
_round_pushpin_,227
_green_salad_,227
_grinning_cat_,225
_tropical_drink_,225
_bicycle_,224
_man_shrugging_dark_skin_tone_,224
_candy_,224
_running_shoe_,223
_grinning_cat_with_smiling_eyes_,223
_call_me_hand_medium_skin_tone_,223
_woman_tipping_hand_light_skin_tone_,222
_battery_,221
_oncoming_fist_medium-dark_skin_tone_,219
_ear_,218
_desktop_computer_,218
_brain_,218
_oncoming_fist_medium_skin_tone_,218
_Poland_,216
_film_frames_,215
_sandwich_,215
_white_circle_,214
_Nigeria_,214
_Mexico_,214
_place_of_worship_,214
_maple_leaf_,213
_woman_dancing_medium-dark_skin_tone_,213
_woman_zombie_,212
_red_triangle_pointed_up_,212
_mouse_,211
_woman_raising_hand_light_skin_tone_,211
_fork_and_knife_with_plate_,209
_Japan_,208
_mantelpiece_clock_,208
_bagel_,207
_prince_,206
_high-heeled_shoe_,206
_pig_,204
_drum_,204
_coffin_,203
_articulated_lorry_,201
_latin_cross_,201
_selfie_,200
_ice_cream_,199
