emoticon,cnt
_backhand_index_pointing_right_medium-dark_skin_tone_,6
_person_with_veil_,6
_sunset_,6
_old_man_medium-light_skin_tone_,6
_blue_book_,6
_family_woman_girl_boy_,6
_ambulance_,6
_bed_,6
_man_cartwheeling_,6
_crayon_,6
_prince_,6
_right_arrow_curving_up_,6
_ear_light_skin_tone_,6
_right_anger_bubble_,6
_yen_banknote_,6
_spiral_shell_,6
_classical_building_,6
_writing_hand_medium_skin_tone_,6
_camping_,6
_woman_in_lotus_position_,6
_woman_running_medium-light_skin_tone_,6
_woman_running_medium_skin_tone_,6
_bullet_train_,6
_detective_light_skin_tone_,6
_busts_in_silhouette_,6
_satellite_antenna_,6
_man_astronaut_,6
_man_mechanic_,6
_cupcake_,6
_D_,6
_luggage_,6
_boy_medium-light_skin_tone_,6
_pregnant_woman_medium-light_skin_tone_,6
_envelope_,6
_envelope_with_arrow_,6
_pregnant_woman_light_skin_tone_,6
_woman_in_steamy_room_,6
_man_dancing_medium_skin_tone_,5
_baby_chick_,5
_baby_angel_medium-light_skin_tone_,5
_derelict_house_,5
_person_light_skin_tone_beard_,5
_notebook_with_decorative_cover_,5
_nut_and_bolt_,5
_ringed_planet_,5
_man_in_lotus_position_,5
_floppy_disk_,5
_person_blond_hair_,5
_three-thirty_,5
_bell_with_slash_,5
_oncoming_fist_dark_skin_tone_,5
_raising_hands_medium_skin_tone_,5
_rolled-up_newspaper_,5
_fox_,5
_card_index_dividers_,5
_foot_,5
_backhand_index_pointing_left_medium-dark_skin_tone_,5
_BACK_arrow_,5
