idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
ladder,0.0,0.38095238095238093,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.09523809523809523,ladder,1,🪜,ladder,Objects,tool
man_raising_hand_medium-dark_skin_tone,,,,,,,man_raising_hand_medium-dark_skin_tone,30,🙋🏾‍♂️,man raising hand: medium-dark skin tone,People & Body,person-gesture
United_Nations,,,,,,,United_Nations,9,🇺🇳,flag: United Nations,Flags,country-flag
woman_office_worker_light_skin_tone,0.0,1.0,0.0,0.0,0.0,0.0,woman_office_worker_light_skin_tone,11,👩🏻‍💼,woman office worker: light skin tone,People & Body,person-role
locked_with_pen,,,,,,,locked_with_pen,2,🔏,locked with pen,Objects,lock
guard_dark_skin_tone,,,,,,,guard_dark_skin_tone,3,💂🏿,guard: dark skin tone,People & Body,person-role
oncoming_fist_medium-light_skin_tone,,,,,,,oncoming_fist_medium-light_skin_tone,338,👊🏼,oncoming fist: medium-light skin tone,People & Body,hand-fingers-closed
woman_medium-dark_skin_tone_red_hair,,,,,,,woman_medium-dark_skin_tone_red_hair,1,👩🏾‍🦰,"woman: medium-dark skin tone, red hair",People & Body,person
face_in_clouds,,,,,,,face_in_clouds,2,😶‍🌫️,face in clouds,Smileys & Emotion,face-neutral-skeptical
boy_medium_skin_tone,,,,,,,boy_medium_skin_tone,11,👦🏽,boy: medium skin tone,People & Body,person
raised_fist,0.1780821917808219,0.5136986301369864,0.0410958904109589,0.15753424657534246,0.02054794520547945,0.08904109589041095,raised_fist,1086,✊,raised fist,People & Body,hand-fingers-closed
middle_finger,0.13394018205461639,0.07022106631989597,0.11183355006501951,0.26397919375812745,0.01950585175552666,0.40052015604681407,middle_finger,3755,🖕,middle finger,People & Body,hand-single-finger
Somalia,,,,,,,Somalia,2,🇸🇴,flag: Somalia,Flags,country-flag
baguette_bread,0.0625,0.625,0.0625,0.125,0.0625,0.0625,baguette_bread,83,🥖,baguette bread,Food & Drink,food-prepared
man_wearing_turban_medium_skin_tone,,,,,,,man_wearing_turban_medium_skin_tone,1,👳🏽‍♂️,man wearing turban: medium skin tone,People & Body,person-role
woman_technologist_medium-light_skin_tone,,,,,,,woman_technologist_medium-light_skin_tone,27,👩🏼‍💻,woman technologist: medium-light skin tone,People & Body,person-role
cat,0.07554945054945054,0.4381868131868132,0.13598901098901098,0.18956043956043955,0.046703296703296704,0.11401098901098901,cat,178,🐈,cat,Animals & Nature,animal-mammal
men_holding_hands_medium_skin_tone_light_skin_tone,,,,,,,men_holding_hands_medium_skin_tone_light_skin_tone,1,👨🏽‍🤝‍👨🏻,"men holding hands: medium skin tone, light skin tone",People & Body,family
Leo,,,,,,,Leo,13,♌,Leo,Symbols,zodiac
oyster,0.0,0.5,0.2,0.1,0.1,0.1,oyster,5,🦪,oyster,Food & Drink,food-marine
Canary_Islands,,,,,,,Canary_Islands,1,🇮🇨,flag: Canary Islands,Flags,country-flag
man_swimming_medium-light_skin_tone,,,,,,,man_swimming_medium-light_skin_tone,4,🏊🏼‍♂️,man swimming: medium-light skin tone,People & Body,person-sport
cold_face,0.13157894736842105,0.34210526315789475,0.21052631578947367,0.15789473684210525,0.02631578947368421,0.13157894736842105,cold_face,439,🥶,cold face,Smileys & Emotion,face-unwell
woman_running_medium_skin_tone,0.0,0.25,0.0,0.0,0.75,0.0,woman_running_medium_skin_tone,44,🏃🏽‍♀️,woman running: medium skin tone,People & Body,person-activity
raised_hand_medium-dark_skin_tone,,,,,,,raised_hand_medium-dark_skin_tone,71,✋🏾,raised hand: medium-dark skin tone,People & Body,hand-fingers-open
woman_medium_skin_tone_red_hair,,,,,,,woman_medium_skin_tone_red_hair,3,👩🏽‍🦰,"woman: medium skin tone, red hair",People & Body,person
man_judge_medium-dark_skin_tone,,,,,,,man_judge_medium-dark_skin_tone,1,👨🏾‍⚖️,man judge: medium-dark skin tone,People & Body,person-role
man_playing_handball_medium-dark_skin_tone,,,,,,,man_playing_handball_medium-dark_skin_tone,2,🤾🏾‍♂️,man playing handball: medium-dark skin tone,People & Body,person-sport
ice,0.05576776165011459,0.2546473134708429,0.08505220269926152,0.3050674815380698,0.0766488413547237,0.22281639928698752,ice,51,🧊,ice,Food & Drink,drink
Santa_Claus_dark_skin_tone,,,,,,,Santa_Claus_dark_skin_tone,7,🎅🏿,Santa Claus: dark skin tone,People & Body,person-fantasy
brown_heart,0.0,0.9051724137931034,0.0,0.008620689655172414,0.08620689655172414,0.0,brown_heart,395,🤎,brown heart,Smileys & Emotion,emotion
videocassette,0.2727272727272727,0.5454545454545454,0.09090909090909091,0.0,0.09090909090909091,0.0,videocassette,65,📼,videocassette,Objects,light & video
skis,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,skis,13,🎿,skis,Activities,sport
family_man_woman_boy_boy,0.0,1.0,0.0,0.0,0.0,0.0,family_man_woman_boy_boy,28,👨‍👩‍👦‍👦,"family: man, woman, boy, boy",People & Body,family
woman_walking_medium-light_skin_tone,,,,,,,woman_walking_medium-light_skin_tone,8,🚶🏼‍♀️,woman walking: medium-light skin tone,People & Body,person-activity
cyclone,0.0,0.3684210526315789,0.0,0.2631578947368421,0.3684210526315789,0.0,cyclone,140,🌀,cyclone,Travel & Places,sky & weather
breast-feeding_medium-light_skin_tone,,,,,,,breast-feeding_medium-light_skin_tone,2,🤱🏼,breast-feeding: medium-light skin tone,People & Body,person-role
person_shrugging_medium-dark_skin_tone,,,,,,,person_shrugging_medium-dark_skin_tone,48,🤷🏾,person shrugging: medium-dark skin tone,People & Body,person-gesture
woman_gesturing_OK_dark_skin_tone,,,,,,,woman_gesturing_OK_dark_skin_tone,4,🙆🏿‍♀️,woman gesturing OK: dark skin tone,People & Body,person-gesture
