idx,anger,happy,sad,fear,surprise,disgust
candle,0.04195804195804196,0.8444055944055944,0.005244755244755245,0.033216783216783216,0.06643356643356643,0.008741258741258742
victory_hand_medium-dark_skin_tone,,,,,,
man_shrugging,0.28187919463087246,0.3187919463087248,0.053691275167785234,0.15436241610738255,0.1476510067114094,0.0436241610738255
person_biking_dark_skin_tone,1.0,0.0,0.0,0.0,0.0,0.0
tropical_drink,0.08333333333333333,0.4166666666666667,0.0,0.0,0.16666666666666666,0.3333333333333333
fuel_pump,0.0,0.0,0.0,0.0,0.0,1.0
antenna_bars,0.2222222222222222,0.3888888888888889,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555
face_with_medical_mask,0.2288135593220339,0.3305084745762712,0.09745762711864407,0.1694915254237288,0.11864406779661017,0.05508474576271186
chains,0.0,0.5,0.0,0.0,0.0,0.5
woman_swimming_light_skin_tone,0.05555555555555555,0.2777777777777778,0.0,0.05555555555555555,0.3333333333333333,0.2777777777777778
red_exclamation_mark,0.22895277207392198,0.2802874743326489,0.13655030800821355,0.14989733059548255,0.15092402464065707,0.053388090349075976
woman_singer_medium-dark_skin_tone,,,,,,
woman_cartwheeling_medium_skin_tone,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
sun_behind_small_cloud,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.09090909090909091
crossed_fingers_light_skin_tone,0.23255813953488372,0.20930232558139536,0.046511627906976744,0.18604651162790697,0.2558139534883721,0.06976744186046512
man_supervillain_light_skin_tone,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
dashing_away,0.1864406779661017,0.4067796610169492,0.059322033898305086,0.09322033898305085,0.1440677966101695,0.11016949152542373
chocolate_bar,0.07801418439716312,0.48226950354609927,0.14893617021276595,0.05673758865248227,0.18439716312056736,0.04964539007092199
